"","date","sensor","value","year","season","from_sn_start"
"360",2022-07-22 18:00:00,"beaco2n",NA,2022,"Summer",4471200
"361",2022-07-22 19:00:00,"aqs",NA,2022,"Summer",4474800
"362",2022-07-22 19:00:00,"beaco2n",NA,2022,"Summer",4474800
"363",2022-07-22 20:00:00,"aqs",NA,2022,"Summer",4478400
"364",2022-07-22 20:00:00,"beaco2n",NA,2022,"Summer",4478400
"365",2022-07-22 21:00:00,"aqs",NA,2022,"Summer",4482000
"366",2022-07-22 21:00:00,"beaco2n",NA,2022,"Summer",4482000
"367",2022-07-22 22:00:00,"aqs",NA,2022,"Summer",4485600
"368",2022-07-22 22:00:00,"beaco2n",NA,2022,"Summer",4485600
"369",2022-07-22 23:00:00,"aqs",NA,2022,"Summer",4489200
"370",2022-07-22 23:00:00,"beaco2n",NA,2022,"Summer",4489200
"371",2022-07-23,"aqs",NA,2022,"Summer",4492800
"372",2022-07-23,"beaco2n",NA,2022,"Summer",4492800
"373",2022-07-23 01:00:00,"aqs",NA,2022,"Summer",4496400
"374",2022-07-23 01:00:00,"beaco2n",NA,2022,"Summer",4496400
"375",2022-07-23 02:00:00,"aqs",NA,2022,"Summer",4500000
"376",2022-07-23 02:00:00,"beaco2n",NA,2022,"Summer",4500000
"377",2022-07-23 03:00:00,"aqs",NA,2022,"Summer",4503600
